Run,Application1AverageBandWidth,Application2AverageBandWidth,Application3AverageBandWidth,Application1ErrorRate,Application2ErrorRate,Application3ErrorRate,Application1Noise,Application2Noise,Application3Noise,Application1Peak,Application2Peak,Application3Peak,Application1Shift,Application2Shift,Application3Shift
1,10,20,26.3967,16.0377,10.492,4.39137,1,3,2,1,3,11,50,100,50
2,10,20,26.643,21.7252,8.89165,4.65839,3,3,1,1,4,8,150,50,150
3,10,20.0872,26.4783,23.4323,10.0901,4.38585,3,1,2,1,12,11,100,150,50
4,10,20,26.5959,20.5811,6.25,4.36849,1,1,2,2,1,8,150,150,150
5,10,20,30,20.4573,9.90037,0,1,2,1,2,3,1,100,150,50
6,10,20,26.6151,18.9278,10.1636,3.9858,2,1,1,2,5,9,150,150,50
7,10,20.6735,26.6099,16.9031,10.3668,3.97428,1,3,2,2,6,12,50,100,100
8,10,20,29.5617,18.9274,9.85673,2.14447,2,3,2,2,10,2,100,100,150
9,10,20.5357,26.8084,19.1372,9.40551,4.27748,2,1,1,2,10,9,50,50,150
10,10,20.3921,27.9884,18.0617,9.60299,3.50932,2,3,3,2,11,5,150,100,50
11,10,20,27.7638,19.4415,10.1945,2.79962,3,3,2,2,12,5,100,100,50
12,10,20,27.0031,20.4242,8.79765,3.49531,2,3,1,3,1,7,150,50,50
13,10,20,26.3808,19.3277,9.47368,4.43456,2,3,2,3,1,10,100,50,100
14,10,20,30,19.8922,10.6072,0.71599,2,3,1,3,6,2,150,50,50
15,10,20,26.4895,20.6483,10.9806,4.31428,2,2,1,3,6,12,50,50,100
16,10,20,26.564,19.1244,9.94707,3.81541,3,2,2,3,8,8,100,150,50
17,10,20.6515,27.3385,20.2199,9.85495,3.35296,2,3,1,3,10,6,150,150,150
18,10,20,27.7965,21.0218,9.0625,3.05184,1,3,2,4,1,4,50,150,50
19,10,20,27.027,20.6343,8.9701,4.20204,2,2,2,4,2,7,100,150,50
20,10,20,29.6692,18.793,11.0857,1.50376,3,3,1,4,3,3,150,150,150
21,10,20,26.3753,20.7181,10.3796,4.81391,3,2,2,4,6,10,100,50,100
22,10,20,29.1701,21.0028,10.6975,2.4975,2,2,3,5,4,2,50,150,100
23,10,20,26.4214,20.3623,9.87022,4.80744,2,2,1,5,8,11,50,100,100
24,10,20.4651,26.6055,19.3816,9.72376,4.28521,1,2,2,5,8,12,50,150,150
25,10,20.2049,28.0472,19.3468,10.1208,2.86768,3,2,2,5,12,4,50,100,50
26,10.0957,20.841,27.3154,19.6615,9.48862,3.95215,3,3,1,5,12,7,100,50,100
27,10,20,27.9492,19.2686,8.09859,3.08977,2,3,1,6,1,4,50,150,50
28,10,20,27.0559,19.4961,9.4473,3.83626,1,2,2,6,5,7,50,150,50
29,10.0032,20.2025,26.6939,20.3338,10.4067,4.03781,2,1,2,6,8,9,100,100,50
30,10.1022,20.4918,26.9095,20.3459,9.35521,4.18873,2,1,2,6,11,9,100,100,50
31,10.0051,20,27.7767,18.6134,10.426,2.78578,3,3,2,7,4,5,100,150,100
32,10.0107,20,26.6113,20.7314,10.647,4.39621,2,3,2,7,4,8,150,100,150
33,10,20,26.3896,20.3022,9.6758,4.4312,3,2,1,7,6,11,50,150,50
34,10.008,20,27.8195,20.8404,10.2919,3.37966,3,1,2,7,7,5,150,150,150
35,10.0053,20.006,27.767,19.7408,9.35226,2.76904,2,2,2,7,8,5,150,100,50
36,10.0106,20.0018,26.3545,19.29,10.5011,4.18856,3,2,3,7,9,10,100,100,150
37,10,20,28.5342,20.0338,10.3718,2.8481,3,2,3,7,10,1,50,100,150
38,10.0053,20.1197,29.6273,19.9364,9.4953,0.923077,3,2,1,7,10,3,100,50,150
39,15.0089,23.0257,27.5542,16.6915,8.09578,3.8821,2,2,3,7,10,10,150,50,50
40,10,20.3106,26.4934,19.0749,10.0064,4.87385,3,3,1,7,11,10,150,50,100
41,12.1222,20,29.5103,18.6783,9.90291,2.12993,3,3,2,8,2,2,50,100,100
42,10.2282,20.3415,27.0806,20.2112,9.60207,3.64683,2,2,1,8,12,7,50,50,100
43,10.014,20,27.0455,19.9647,9.98405,3.91061,1,1,2,9,5,6,150,100,50
44,10.0219,20,27.703,19.3533,10.3025,2.99549,1,2,3,9,9,4,150,150,100
45,11.7942,20,27.7665,18.5238,11.8357,2.7663,2,1,2,10,2,5,100,100,150
46,10,20,26.626,20.4824,9.75751,4.15219,1,3,2,10,3,8,50,150,150
47,11.8269,20,26.3636,18.6431,10.5395,4.56693,2,1,1,10,3,10,50,50,100
48,10.0106,20,29.2406,19.3821,10.1023,1.57895,1,1,3,10,5,2,100,100,50
49,11.9377,20.1997,28.7833,19.0169,10.3552,1.49813,2,1,3,10,10,1,150,50,100
50,13.9348,21.1934,30,16.6619,9.26999,1.26874,3,3,1,10,11,2,50,100,50
51,12.7209,20,29.2255,17.0766,8.84956,2.39234,1,1,3,11,1,2,100,50,50
52,11.6675,20,30,18.9597,10.1473,0.471698,1,2,2,11,4,1,100,150,50
53,13.8329,20,27.7652,15.527,9.59363,3.50665,3,2,3,11,4,4,150,50,150
54,12.879,20.8814,27.3549,17.1255,9.78805,3.50729,1,2,3,11,11,7,100,100,100
55,13.7669,20.9595,26.8932,17.1351,9.40116,4.10117,1,2,3,11,11,10,100,150,50
56,14.3856,21.3616,26.7169,16.1832,8.60873,3.88698,2,3,1,12,4,10,50,50,50
57,13.9359,20,29.7251,16.4044,9.71514,1.63522,1,1,1,12,7,3,50,100,100
58,14.0595,20.3059,29.4036,16.3557,10.2817,1.65877,1,1,2,12,8,3,150,50,50
59,12.886,20.0101,27.1067,17.7406,9.45921,4.01843,1,1,1,12,8,6,100,150,150
