Run,Application1AverageBandWidth,Application2AverageBandWidth,Application3AverageBandWidth,Application1ErrorRate,Application2ErrorRate,Application3ErrorRate,Application1Noise,Application2Noise,Application3Noise,Application1Peak,Application2Peak,Application3Peak,Application1Shift,Application2Shift,Application3Shift
1,19.7222,20.6259,20.5766,10,9.74212,10.3626,1,3,2,1,4,6,150,50,150
2,20.5753,20.7406,18.4906,10.9051,11.0178,12.3967,2,1,1,2,6,1,50,100,100
3,20.9008,20.942,20.7022,10.514,9.92424,10.6765,1,3,2,2,6,12,150,150,50
4,20.4606,20.5966,19.797,9.04079,9.75644,12.0536,2,3,2,2,10,1,150,50,150
5,20.7804,20.9091,20.6519,10.6724,10,9.23077,2,1,1,3,1,2,150,100,50
6,20.9244,20.8749,20.5002,10.4745,10.1282,10.945,3,1,1,3,7,5,100,50,150
7,20.5906,20.9136,20.6815,8.44471,10.5229,10.3849,2,1,3,3,7,9,50,50,50
8,20.4739,20.7961,20.4458,10.0877,10.2047,10.5749,1,2,1,3,10,4,150,50,50
9,20.6017,20.7037,20.6808,9.9916,10.8911,9.79955,2,3,3,4,1,9,50,150,50
10,20.6413,20.7322,21.3015,10.9183,9.22619,12.6126,3,3,2,4,2,2,150,50,100
11,20.7278,20.0815,20.7635,9.64987,10.3532,9.82717,1,1,2,4,2,10,100,100,50
12,20.6066,20.452,20.634,9.9837,10.2029,9.94137,3,3,1,4,3,6,100,100,150
13,20.6893,20.5758,20.5617,9.2976,10.6089,10.6768,3,3,3,4,5,3,100,50,150
14,20.5912,20.7358,20.7913,9.59596,9.95965,10.5314,1,2,2,4,7,9,150,150,100
15,20.8884,20.5868,20.8633,9.77759,10.7128,10.2466,1,3,2,4,7,9,50,50,100
16,21.1789,20.5778,20.7449,10.0624,10.6176,9.74468,2,3,2,4,8,7,100,100,100
17,20.8918,20.7455,20.6708,10.941,11.2476,10.6856,1,3,1,5,2,3,50,100,50
18,20.8434,20.9176,20.6107,9.58026,11.366,10.9994,2,3,1,5,2,7,150,50,100
19,20.8354,20.4593,20.6931,10.289,11.0217,10.355,1,1,3,5,3,2,50,150,150
20,20.8106,20.8368,20.7512,11.0075,10.6223,10.5364,3,1,2,5,3,7,50,100,50
21,20.586,20.7942,20.8577,9.86717,10.8239,10.05,1,3,1,5,7,4,50,50,100
22,20.606,20.5303,20.8834,9.03937,10.3134,10.3922,3,3,3,5,8,10,100,100,150
23,20.7607,20.7152,20.8232,10.9698,10.4261,9.03084,1,3,2,5,10,2,50,150,50
24,20.6991,20.6431,20.838,9.84635,10.3305,10.5085,3,3,2,5,10,12,100,50,100
25,20.8977,20.7785,20.683,10.2716,10.3255,10.4377,2,3,3,5,11,3,50,100,150
26,20.8776,20.7546,20.5026,9.89288,10.4408,10.3956,2,2,1,5,12,4,50,50,100
27,20.5902,21.0236,20.9921,9.80642,10.2473,9.2437,2,3,1,6,1,2,50,50,50
28,20.8034,20.8119,20.7655,9.86741,11.071,10.2576,1,1,2,6,2,12,100,50,100
29,20.7662,20.537,20.8245,10.0436,10.4173,10.0636,3,2,2,6,5,2,100,50,150
30,20.706,20.6126,20.8125,10.0356,10.4622,10.692,2,2,3,6,6,9,100,50,100
31,20.7966,20.941,20.5874,10.2839,10.1001,10.3995,3,1,3,6,7,7,150,100,150
32,20.578,20.8982,20.6611,10.7448,10.1702,10.5494,3,3,3,6,7,8,150,150,50
33,20.9017,20.6188,19.8913,10.1974,11.4197,10.2439,3,1,2,6,8,1,100,150,50
34,20.751,20.7818,20.7045,10.9359,10.5364,10.447,1,3,1,6,11,6,50,50,100
35,20.7021,20.8189,21.0577,10.3009,10.0706,7.9646,1,2,1,6,12,1,50,50,100
36,20.9083,20.6946,20.7776,10.438,10.1645,10.8616,3,3,3,6,12,7,150,50,150
37,20.5655,20.9371,20.8631,11.1323,9.80143,10.0209,2,1,2,7,6,4,150,100,100
38,20.5935,20.8369,21.0905,10.8207,10.5873,10.3617,1,3,3,7,11,2,100,50,50
39,20.9065,20.6932,20.7879,10.4243,10.8899,10.412,1,2,2,7,11,5,150,50,100
40,20.6413,21.2893,21.0444,10.2831,12.1547,13.9463,3,3,3,8,1,2,150,50,100
41,20.6317,20.6286,20.7728,10.115,9.88439,10.2137,2,3,2,8,3,12,150,50,50
42,20.8853,20.7757,20.6148,10.8414,10.5725,10.5051,3,1,1,8,4,9,100,150,150
43,20.674,20.7049,20.8285,10.5263,10.5734,10.4309,1,3,1,8,4,11,150,50,150
44,20.7658,20.803,20.6309,9.73579,10.6816,9.76241,3,1,2,8,6,12,150,50,100
45,20.8014,20.7677,20.6482,10.2349,9.81883,11.5821,3,2,2,8,9,3,100,150,100
46,20.7312,20.6509,20.7769,10.454,9.55496,10.2294,3,3,3,8,11,5,100,50,100
47,20.7273,20.7201,20.5731,10.9554,10.5757,9.5312,2,2,3,9,7,5,50,50,150
48,20.652,20.8883,20.6997,9.62516,9.79599,10.8868,3,3,1,9,8,9,100,100,150
49,20.826,20.6346,21.4689,9.68254,11.0076,10.4251,3,1,3,9,10,2,150,50,50
50,20.7535,20.6973,20.7286,10.62,10.3818,10.4002,2,3,3,9,10,12,50,150,100
51,20.5928,20.8827,21.2829,10.5272,10.7597,8.1571,2,2,3,9,12,1,100,100,100
52,20.7264,20.7161,20.7259,10.708,10.3118,10.4657,3,2,3,9,12,6,100,100,100
53,20.7459,20.2762,20.6748,10.0431,10.3072,11.22,2,3,2,10,2,2,50,100,150
54,20.688,20.3022,20.6511,9.65212,10.8899,10.2287,2,2,1,10,2,5,100,150,150
55,20.7441,20.6413,20.8696,10.2088,10.3859,9.94152,1,2,1,10,4,6,50,50,150
56,20.6677,20.63,20.825,10.5075,9.78844,10.4957,2,1,1,10,5,11,50,150,100
57,20.7766,20.6119,20.6265,9.93264,10.1501,9.52981,3,3,1,10,7,4,100,150,150
58,20.6938,20.7997,20.6474,11.0429,10.2111,10.2983,3,2,3,10,10,9,50,150,150
59,20.6964,20.6729,20.9561,10.4259,10.414,12.0673,3,2,3,10,11,2,150,150,100
60,20.7945,20.7034,20.7287,10.4593,10.9969,10.1828,2,2,2,11,12,8,150,50,50
61,20.7101,20.7692,20.5978,9.9161,14.1509,9.60699,3,1,3,12,1,8,150,100,50
62,20.8655,20.8545,20.508,10.3744,10.717,10.3426,2,1,2,12,6,7,150,100,50
63,20.7098,20.8349,20.6906,10.3247,9.95931,10.8624,3,3,2,12,7,6,100,100,100
