Run,Application1AverageBandWidth,Application2AverageBandWidth,Application3AverageBandWidth,Application1ErrorRate,Application2ErrorRate,Application3ErrorRate,Application1Noise,Application2Noise,Application3Noise,Application1Peak,Application2Peak,Application3Peak,Application1Shift,Application2Shift,Application3Shift
1,10,20,25.795,17.3285,9.32709,5.17241,3,2,2,1,4,5,150,150,100
2,10,20,25.7911,16.0142,10.2558,4.98282,3,3,2,1,6,10,50,100,50
3,10,20,25.78,16.8712,10.8563,4.93513,3,2,3,1,7,6,100,100,150
4,10,20,25.786,16.2252,10.6229,4.81539,3,1,3,1,9,11,100,50,50
5,10,20,25.8177,16.7513,9.51399,5.63781,2,2,3,1,11,3,100,100,150
6,10,20,25.8017,14.8515,9.42911,5.08176,1,1,3,1,12,6,100,150,150
7,10,20,25.7817,21.3523,10.4172,4.76669,3,1,1,1,12,10,50,100,100
8,10,20,25.7799,19.174,10.4072,4.90162,3,2,2,2,1,12,150,100,100
9,10,20,25.8267,18.2464,9.71463,5.55903,1,2,1,2,3,3,150,150,150
10,10,20,25.798,19.4118,10.0222,5.26316,1,1,1,2,5,5,50,150,100
11,10,20,25.7846,19.3455,10.0378,4.94763,3,3,2,2,6,8,150,50,50
12,10,20,25.7733,20.2614,10.8839,5.03324,2,2,1,2,7,5,50,50,50
13,10,20,25.752,20.5506,9.85329,4.31232,3,2,1,2,8,6,50,100,50
14,10,20,25.7777,20.1944,9.60122,4.74048,2,1,1,2,12,9,100,100,100
15,10,20,25.7703,20.1722,8.56164,4.66534,1,3,2,3,1,12,150,50,100
16,10,20,25.7939,19.677,10.2549,4.93958,2,3,2,3,3,7,100,150,50
17,10,20,25.7875,20.2374,8.93977,4.59153,1,2,2,3,5,3,100,50,100
18,10,20,25.7731,20.9011,9.50999,4.60384,1,1,2,3,9,10,150,150,150
19,10,20,25.7953,19.5444,9.96144,5.11269,2,2,2,3,9,11,50,100,50
20,10,20,25.8078,19.3243,8.57143,4.95988,3,1,2,4,1,8,150,100,100
21,10,20,25.7903,19.8109,11.3208,4.86401,3,1,1,4,1,10,100,50,100
22,10,20,25.7959,18.8255,9.87686,5.02283,2,2,2,4,6,6,150,100,100
23,10,20,25.7757,19.2706,10.6247,4.69288,2,3,3,4,6,8,100,100,100
24,10,20,25.7768,18.398,10.1146,4.77712,2,1,3,4,6,9,50,150,150
25,10,20,25.7723,19.1463,10.3404,4.46994,2,3,3,4,9,4,150,100,50
26,10,20,25.7623,20.5635,10.0785,4.28571,1,2,2,4,12,6,100,50,50
27,10,20,25.8549,20.5723,11.4035,5.39216,3,1,2,5,1,1,100,100,50
28,10,20,25.8054,19.8855,9.62801,4.93827,1,2,1,5,2,9,150,100,150
29,10,20,25.8124,19.4497,10.5263,5.21423,1,3,3,5,5,4,50,100,150
30,10,20,25.7885,20.7846,10.1634,4.85068,2,2,3,5,10,8,100,50,100
31,10,20,25.8111,21.0279,10.644,4.5098,3,3,3,5,12,2,50,50,50
32,10,20,25.7468,19.9133,9.63855,4.31929,1,3,2,6,1,7,100,50,150
33,10,20,25.7854,20.932,6,4.97117,2,2,2,6,1,11,150,100,150
34,10,20,25.776,20.2438,8.43091,5.16726,2,3,3,6,3,10,50,100,100
35,10,20,25.7952,19.3049,11.4721,5.19031,3,3,2,7,2,8,100,50,150
36,10,20,25.7815,20.1424,10.6135,5.03771,3,1,3,7,7,10,100,150,150
37,10,20,25.7976,18.4932,9.79065,5.33849,3,2,3,7,7,11,150,50,100
38,10,20,25.7904,19.2735,10.4993,5.21321,2,1,2,7,8,12,100,100,100
39,10,20,25.8033,19.179,10.161,5.01998,2,1,3,7,9,6,150,100,100
40,10,20,25.7737,20.1958,9.69671,4.78256,1,1,1,7,10,12,50,150,150
41,10,20,25.7912,20.6289,7.24638,5.46697,3,2,3,8,1,6,50,100,100
42,10,20,25.7859,19.1563,9.05119,4.90758,3,1,3,8,3,9,50,100,50
43,10,20,25.7874,20.2247,10.1716,5.22113,2,1,2,8,4,3,100,50,150
44,10,20,25.8104,19.5947,9.31311,5.07163,3,1,1,8,4,10,150,100,100
45,10,20,25.8034,20.0073,10.787,5.09612,1,1,2,8,9,11,50,100,50
46,10,20,25.8061,20.5075,10.7777,5.24652,1,1,2,9,3,7,100,150,100
47,10,20,25.818,19.9229,9.70395,5.07553,2,3,2,9,4,3,50,150,100
48,10,20,25.7143,18.9766,9.39384,4.54545,2,2,1,9,5,1,50,150,150
49,10,20,25.7945,19.9361,10.411,5.30151,1,3,2,9,7,10,100,150,100
50,10,20,25.804,19.9388,9.99788,5.10939,2,3,3,9,7,10,150,150,100
51,12.2272,20,25.7996,18.176,9.5791,5.25253,3,3,3,9,8,2,50,50,150
52,10,20,25.7865,19.4867,9.72222,5.11956,1,2,2,10,1,9,50,150,100
53,11.1165,20,25.8109,18.7305,10.3518,5.51012,2,3,3,10,6,7,150,50,150
54,11.1158,20,25.7766,18.6498,9.94652,4.81244,2,2,3,10,7,8,150,150,150
55,12.2358,20,25.7673,18.5627,9.58487,5.32688,3,2,1,10,9,2,100,50,100
56,11.1281,20,25.7841,19.2605,10.2845,5.14519,1,2,1,11,2,6,100,150,100
57,12.1854,20,25.7963,17.9451,10.0127,5.23493,2,3,1,11,6,6,100,150,100
58,13.2611,20,25.8011,17.3535,9.32009,5.48711,3,1,1,11,6,10,150,100,100
59,11.1162,20,25.7826,18.1865,10.8672,5.07937,1,3,2,11,7,5,100,150,150
60,12.2075,20,25.8102,17.9987,10.5825,5.27606,2,1,3,11,11,12,50,150,150
61,13.2875,20,25.8153,17.0596,10.1667,5.08075,3,2,2,11,12,8,100,50,150
