Run,Application1AverageBandWidth,Application2AverageBandWidth,Application3AverageBandWidth,Application1ErrorRate,Application2ErrorRate,Application3ErrorRate,Application1Noise,Application2Noise,Application3Noise,Application1Peak,Application2Peak,Application3Peak,Application1Shift,Application2Shift,Application3Shift
1,10,20,25.7914,17.7474,9.26769,5.12096,3,2,2,1,4,5,150,150,100
2,10,20,25.7933,16.4596,10.1978,5.03628,3,3,2,1,6,10,50,100,50
3,10,20,25.773,16.6667,10.9455,4.83032,3,2,3,1,7,6,100,100,150
4,10,20,25.7859,16.4865,10.6345,4.84429,3,1,3,1,9,11,100,50,50
5,10,20,25.8112,17.5824,9.51588,5.48105,2,2,3,1,11,3,100,100,150
6,10,20,25.8036,15.3153,9.42004,5.10894,1,1,3,1,12,6,100,150,150
7,10,20,25.7807,20.3647,10.4245,4.74353,3,1,1,1,12,10,50,100,100
8,10,20,25.7817,18.9707,10.0917,4.90884,3,2,2,2,1,12,150,100,100
9,10,20,25.8262,18.3529,9.73828,5.53483,1,2,1,2,3,3,150,150,150
10,10,20,25.7974,19.5704,10.0832,5.2598,1,1,1,2,5,5,50,150,100
11,10,20,25.783,19.0863,10.0756,4.90374,3,3,2,2,6,8,150,50,50
12,10,20,25.7787,20.2899,10.8659,5.07614,2,2,1,2,7,5,50,50,50
13,10,20,25.7532,20.7113,9.81539,4.34338,3,2,1,2,8,6,50,100,50
14,10,20,25.7771,20.0433,9.59738,4.76267,2,1,1,2,12,9,100,100,100
15,10,20,25.769,20.2219,8.95522,4.63623,1,3,2,3,1,12,150,50,100
16,10,20,25.7916,19.2235,10.3044,4.911,2,3,2,3,3,7,100,150,50
17,10,20,25.7854,20.2088,8.96638,4.45394,1,2,2,3,5,3,100,50,100
18,10,20,25.7736,20.8461,9.49936,4.64153,1,1,2,3,9,10,150,150,150
19,10,20,25.7912,19.5122,10.0096,5.05907,2,2,2,3,9,11,50,100,50
20,10,20,25.8084,19.2795,8.33333,4.98084,3,1,2,4,1,8,150,100,100
21,10,20,25.789,19.8272,11.8182,4.86091,3,1,1,4,1,10,100,50,100
22,10,20,25.7924,18.7168,9.88872,4.92176,2,2,2,4,6,6,150,100,100
23,10,20,25.7765,19.2308,10.5918,4.71319,2,3,3,4,6,8,100,100,100
24,10,20,25.7764,18.4734,10.1279,4.78407,2,1,3,4,6,9,50,150,150
25,10,20,25.7845,19.0894,10.2743,4.60848,2,3,3,4,9,4,150,100,50
26,10,20,25.7638,20.529,10.0833,4.28282,1,2,2,4,12,6,100,50,50
27,10,20,25.7931,20.4744,11.2245,5.22876,3,1,2,5,1,1,100,100,50
28,10,20,25.8061,19.8856,9.53413,4.95256,1,2,1,5,2,9,150,100,150
29,10,20,25.8074,19.4896,10.5901,5.08197,1,3,3,5,5,4,50,100,150
30,10,20,25.7846,20.8268,10.1997,4.79216,2,2,3,5,10,8,100,50,100
31,10,20,25.8108,21.0016,10.6537,4.46872,3,3,3,5,12,2,50,50,50
32,10,20,25.7492,19.939,9.81818,4.33213,1,3,2,6,1,7,100,50,150
33,10,20,25.7877,20.9326,5.88235,5.00961,2,2,2,6,1,11,150,100,150
34,10,20,25.7777,20.195,8.42664,5.1911,2,3,3,6,3,10,50,100,100
35,10,20,25.7957,19.3397,11.4345,5.19956,3,3,2,7,2,8,100,50,150
36,10,20,25.7822,20.1864,10.6297,5.04214,3,1,3,7,7,10,100,150,150
37,10,20,25.7988,18.5098,9.80102,5.35324,3,2,3,7,7,11,150,50,100
38,10,20,25.7877,19.3331,10.5003,5.19571,2,1,2,7,8,12,100,100,100
39,10,20,25.8035,19.2635,10.1591,5.04414,2,1,3,7,9,6,150,100,100
40,10,20,25.7764,20.2266,9.67927,4.82111,1,1,1,7,10,12,50,150,150
41,10,20,25.7916,20.6053,5.94595,5.46974,3,2,3,8,1,6,50,100,100
42,10,20,25.786,19.2057,9.03503,4.91803,3,1,3,8,3,9,50,100,50
43,10,20,25.7895,20.3254,10.1801,5.23691,2,1,2,8,4,3,100,50,150
