Run,Application1AverageBandWidth,Application2AverageBandWidth,Application3AverageBandWidth,Application1ErrorRate,Application2ErrorRate,Application3ErrorRate,Application1Noise,Application2Noise,Application3Noise,Application1Peak,Application2Peak,Application3Peak,Application1Shift,Application2Shift,Application3Shift
1,19.7222,20.6259,20.5766,10,9.74212,10.3626,1,3,2,1,4,6,150,50,150
2,20.8076,20.6739,20.9901,9.36491,10.5317,12.1739,2,1,1,2,6,1,50,100,100
3,20.3485,20.7973,20.7807,10.9785,10.2708,10.0701,1,3,2,2,6,12,150,150,50
4,20.6036,20.5473,22.4138,9.43194,10.1478,13.4328,2,3,2,2,10,1,150,50,150
5,20.9332,20.0917,20.2968,11.138,7.62712,8.93067,2,1,1,3,1,2,150,100,50
6,20.9897,20.7689,20.5235,10.842,9.69116,11.0083,3,1,1,3,7,5,100,50,150
7,20.499,20.6948,20.8725,9.01937,10.2575,9.72577,2,1,3,3,7,9,50,50,50
8,20.9524,20.71,20.4939,11.0834,10.0114,10.7692,1,2,1,3,10,4,150,50,50
9,20.7787,21.5837,20.6128,9.2562,11.245,10.3619,2,3,3,4,1,9,50,150,50
10,20.823,20.5908,20.918,11.7433,11.0895,11.5801,3,3,2,4,2,2,150,50,100
11,20.8036,21.5818,20.5788,10.2488,10.7656,10.0941,1,1,2,4,2,10,100,100,50
12,20.6199,20.6998,20.5906,9.63756,9.39933,9.86058,3,3,1,4,3,6,100,100,150
13,20.8829,20.5712,20.2699,9.84,10.4492,10.2653,3,3,3,4,5,3,100,50,150
14,20.8357,20.7871,20.619,10.0756,10.5598,9.97598,1,2,2,4,7,9,150,150,100
15,20.6012,20.6579,20.7834,10.3956,10.1599,10.2355,1,3,2,4,7,9,50,50,100
16,20.736,20.5737,20.7136,9.79253,10.1944,9.66916,2,3,2,4,8,7,100,100,100
17,20.6731,20.9409,20.7724,11.1324,10.3042,10.549,1,3,1,5,2,3,50,100,50
18,20.7251,20.6667,20.6032,9.95246,10.0899,10.8421,2,3,1,5,2,7,150,50,100
19,20.7351,20.2871,20.7399,10.6315,10.2454,10.5481,1,1,3,5,3,2,50,150,150
20,20.7882,20.6634,20.7591,11.256,10.1067,10.5885,3,1,2,5,3,7,50,100,50
21,20.5195,20.6768,20.9949,9.38389,10.0674,10.2306,1,3,1,5,7,4,50,50,100
22,20.8943,20.7021,20.7454,9.72569,9.99818,10.0629,3,3,3,5,8,10,100,100,150
23,20.5217,20.7421,20.7729,9.62025,10.5727,8.91089,1,3,2,5,10,2,50,150,50
24,20.7862,20.8362,20.6778,10.0694,9.68937,10.7001,3,3,2,5,10,12,100,50,100
25,20.5196,20.7811,21.1467,10.3896,10.6207,10.1258,2,3,3,5,11,3,50,100,150
26,20.6893,20.7257,20.8882,10.4287,10.8802,10.7383,2,2,1,5,12,4,50,50,100
27,20.4927,20.5512,21.0201,9.87059,7.29927,10.349,2,3,1,6,1,2,50,50,50
28,20.8907,20.7652,20.8006,10.2885,8.56454,10.3805,1,1,2,6,2,12,100,50,100
29,20.5618,20.7034,21.0462,10.6233,10.1905,10.3599,3,2,2,6,5,2,100,50,150
30,20.6415,20.8301,20.7062,10.1208,9.95693,10.5692,2,2,3,6,6,9,100,50,100
31,20.7527,20.7261,20.7941,9.60754,10.6424,9.95046,3,1,3,6,7,7,150,100,150
32,20.816,20.8109,20.677,9.73801,10.4251,10.7422,3,3,3,6,7,8,150,150,50
33,20.8224,20.5677,20.9605,10.504,10.3125,6.84211,3,1,2,6,8,1,100,150,50
34,20.6146,20.8447,20.8314,11.1732,10.0802,10.8403,1,3,1,6,11,6,50,50,100
35,21.152,20.6466,21.0227,10.9673,10.342,13.7255,1,2,1,6,12,1,50,50,100
36,20.7407,20.8269,20.5739,10.4748,10.2895,10.8833,3,3,3,6,12,7,150,50,150
37,20.794,20.7707,20.7761,11.0121,10.1592,10.7686,2,1,2,7,6,4,150,100,100
38,20.8136,20.7121,20.7886,10.4122,10.2702,10.7143,1,3,3,7,11,2,100,50,50
39,20.875,20.7412,20.6519,10.4291,10.8496,10.3884,1,2,2,7,11,5,150,50,100
40,20.6873,20.3484,20.9432,10.2293,9.46372,11.3797,3,3,3,8,1,2,150,50,100
41,20.8217,20.7395,20.6694,10.1455,9.80278,10.3177,2,3,2,8,3,12,150,50,50
42,20.8072,20.8462,20.7553,10.6535,10.6516,10.724,3,1,1,8,4,9,100,150,150
43,20.8906,20.6253,20.6961,10.5543,10.1306,10.4183,1,3,1,8,4,11,150,50,150
44,20.7515,20.6138,20.6939,10.1625,10.9114,9.6555,3,1,2,8,6,12,150,50,100
45,20.9111,20.6503,20.6059,10.2204,9.88569,11.3993,3,2,2,8,9,3,100,150,100
46,20.5523,20.7916,20.7827,10.1436,10.0438,9.78467,3,3,3,8,11,5,100,50,100
47,20.6515,20.7923,20.7426,10.589,10.1483,10.0092,2,2,3,9,7,5,50,50,150
