Run,Application1AverageBandWidth,Application2AverageBandWidth,Application3AverageBandWidth,Application1ErrorRate,Application2ErrorRate,Application3ErrorRate,Application1Noise,Application2Noise,Application3Noise,Application1Peak,Application2Peak,Application3Peak,Application1Shift,Application2Shift,Application3Shift
1,10,20,25.7938,17.4545,9.25164,5.09594,3,2,2,1,4,5,150,150,100
2,10,20,25.7915,16.3399,10.2429,4.97569,3,3,2,1,6,10,50,100,50
3,10,20,25.7759,17.7852,10.8769,4.87742,3,2,3,1,7,6,100,100,150
4,10,20,25.7844,16.1972,10.6321,4.82253,3,1,3,1,9,11,100,50,50
5,10,20,25.8178,16.055,9.54105,5.55881,2,2,3,1,11,3,100,100,150
6,10,20,25.8036,16.0377,9.41935,5.1084,1,1,3,1,12,6,100,150,150
7,10,20,25.782,20.7885,10.4203,4.76054,3,1,1,1,12,10,50,100,100
8,10,20,25.7797,19.0572,10.8333,4.89264,3,2,2,2,1,12,150,100,100
9,10,20,25.8062,18.3746,9.80392,5.2797,1,2,1,2,3,3,150,150,150
10,10,20,25.7964,19.5416,10.0733,5.2531,1,1,1,2,5,5,50,150,100
11,10,20,25.7802,19.09,10.1049,4.86289,3,3,2,2,6,8,150,50,50
12,10,20,25.7759,20.1245,10.8691,5.07937,2,2,1,2,7,5,50,50,50
13,10,20,25.7539,20.7983,9.80285,4.36447,3,2,1,2,8,6,50,100,50
14,10,20,25.7755,20.1081,9.60412,4.72213,2,1,1,2,12,9,100,100,100
15,10,20,25.7705,20.3252,8.94942,4.65958,1,3,2,3,1,12,150,50,100
16,10,20,25.7957,19.4085,10.2638,4.97039,2,3,2,3,3,7,100,150,50
17,10,20,25.7848,20.2351,8.98662,4.474,1,2,2,3,5,3,100,50,100
18,10,20,25.7743,20.8825,9.50088,4.63397,1,1,2,3,9,10,150,150,150
19,10,20,25.7981,19.5732,9.90962,5.17795,2,2,2,3,9,11,50,100,50
20,10,20,25.8083,19.3642,8,4.9744,3,1,2,4,1,8,150,100,100
21,10,20,25.7896,19.8072,12.0879,4.88292,3,1,1,4,1,10,100,50,100
22,10,20,25.7934,18.8309,9.85172,4.95931,2,2,2,4,6,6,150,100,100
23,10,20,25.7736,19.2946,10.613,4.6895,2,3,3,4,6,8,100,100,100
24,10,20,25.776,18.5903,10.0847,4.78638,2,1,3,4,6,9,50,150,150
25,10,20,25.7692,19.1189,10.3504,4.41176,2,3,3,4,9,4,150,100,50
26,10,20,25.7623,20.4946,10.0796,4.27028,1,2,2,4,12,6,100,50,50
27,10,20,25.8738,20.5575,11.4583,5.50459,3,1,2,5,1,1,100,100,50
28,10,20,25.8088,19.8791,9.50855,4.97433,1,2,1,5,2,9,150,100,150
29,10,20,25.8201,19.5084,10.5163,5.26101,1,3,3,5,5,4,50,100,150
30,10,20,25.7869,20.8005,10.1802,4.8535,2,2,3,5,10,8,100,50,100
31,10,20,25.8137,21.087,10.6621,4.59653,3,3,3,5,12,2,50,50,50
32,10,20,25.7505,19.9287,9.54064,4.37674,1,3,2,6,1,7,100,50,150
33,10,20,25.7834,20.9468,6.21762,4.94287,2,2,2,6,1,11,150,100,150
34,10,20,25.7755,20.2589,8.51312,5.16526,2,3,3,6,3,10,50,100,100
35,10,20,25.7969,19.2905,11.3113,5.22456,3,3,2,7,2,8,100,50,150
36,10,20,25.7819,20.1992,10.6342,5.03546,3,1,3,7,7,10,100,150,150
37,10,20,25.7944,18.4703,9.82449,5.28398,3,2,3,7,7,11,150,50,100
38,10,20,25.7906,19.2889,10.4638,5.23037,2,1,2,7,8,12,100,100,100
39,10,20,25.8051,19.3237,10.1556,5.05406,2,1,3,7,9,6,150,100,100
40,10,20,25.773,20.2391,9.70915,4.77084,1,1,1,7,10,12,50,150,150
41,10,20,25.7956,20.6392,6.28272,5.50413,3,2,3,8,1,6,50,100,100
42,10,20,25.7906,19.1803,9.03503,4.9817,3,1,3,8,3,9,50,100,50
43,10,20,25.7864,20.2693,10.1346,5.32688,2,1,2,8,4,3,100,50,150
44,11.1341,20,25.8117,18.4148,9.70996,5.11575,3,1,1,8,4,10,150,100,100
45,10,20,25.8017,20.0404,10.8112,5.07777,1,1,2,8,9,11,50,100,50
46,10,20,25.8123,20.519,10.6875,5.33448,1,1,2,9,3,7,100,150,100
47,10,20,25.8312,19.8839,9.62783,5.28905,2,3,2,9,4,3,50,150,100
48,10,20,25.7778,18.9691,9.36224,4.25532,2,2,1,9,5,1,50,150,150
