Run,Application1AverageBandWidth,Application2AverageBandWidth,Application3AverageBandWidth,Application1ErrorRate,Application2ErrorRate,Application3ErrorRate,Application1Noise,Application2Noise,Application3Noise,Application1Peak,Application2Peak,Application3Peak,Application1Shift,Application2Shift,Application3Shift
1,19.7222,20.6259,20.5766,10,9.74212,10.3626,1,3,2,1,4,6,150,50,150
2,20.8929,20.6054,20.4598,9.48276,11.2561,15.534,2,1,1,2,6,1,50,100,100
3,20.5379,21.0738,20.685,12.7557,10.9561,10.4714,1,3,2,2,6,12,150,150,50
4,21,20.5671,20.5435,10.8138,9.90606,15.9817,2,3,2,2,10,1,150,50,150
5,20.8684,20.6,21.1313,9.32768,13.0435,11.3861,2,1,1,3,1,2,150,100,50
6,20.5484,21.0084,20.4897,10.249,10.7105,10.5397,3,1,1,3,7,5,100,50,150
7,20.9892,20.7842,20.6935,9.77995,10.0384,9.97279,2,1,3,3,7,9,50,50,50
8,20.664,20.8295,20.5276,9.0573,10.4684,11.1862,1,2,1,3,10,4,150,50,50
9,20.7159,20.5385,20.6425,10.033,9.09091,10.0651,2,3,3,4,1,9,50,150,50
10,20.6187,20.9348,20.8519,10.6867,11.8774,11.1842,3,3,2,4,2,2,150,50,100
11,20.5957,20.1213,20.6912,10.2694,11.981,9.54357,1,1,2,4,2,10,100,100,50
12,20.5225,20.6729,20.7245,9.20245,11.3408,9.82527,3,3,1,4,3,6,100,100,150
13,20.6069,20.7562,20.6225,9.84075,10.5694,10.708,3,3,3,4,5,3,100,50,150
14,20.7777,20.4784,20.8933,8.96523,10.7301,10.1241,1,2,2,4,7,9,150,150,100
15,20.5216,20.7311,20.8176,10.8245,10.2089,10.3426,1,3,2,4,7,9,50,50,100
16,20.7228,20.7134,20.6614,9.78126,10.2221,10.4602,2,3,2,4,8,7,100,100,100
17,20.6743,20.724,20.9521,11.4077,11.7764,9.26041,1,3,1,5,2,3,50,100,50
18,20.7875,21.1454,20.5389,10.5931,8.92678,10.5163,2,3,1,5,2,7,150,50,100
19,20.733,20.8,20.316,10.3777,11.3255,10.4146,1,1,3,5,3,2,50,150,150
20,20.5635,20.7789,20.8709,11.5206,10.9375,10.4487,3,1,2,5,3,7,50,100,50
21,20.6648,20.8469,20.3205,10.1652,10.0382,10.1419,1,3,1,5,7,4,50,50,100
22,20.6868,20.7415,20.8368,10.7288,9.94435,10.1237,3,3,3,5,8,10,100,100,150
23,20.8424,20.6739,20.3071,9.31854,10.9343,10.3524,1,3,2,5,10,2,50,150,50
24,20.7483,20.5364,20.8453,10.1054,9.86917,10.4838,3,3,2,5,10,12,100,50,100
25,20.7236,20.7862,20.9652,10.8641,10.3191,10.9357,2,3,3,5,11,3,50,100,150
26,20.7223,20.7338,20.7572,9.53283,10.4027,11.293,2,2,1,5,12,4,50,50,100
27,20.7766,19.8479,19.8624,9.79695,8.36237,11.9855,2,3,1,6,1,2,50,50,50
28,20.733,20.5976,20.7864,10.0894,10.8876,9.69597,1,1,2,6,2,12,100,50,100
29,20.579,20.8304,20.6388,11.0378,10.0439,10.1545,3,2,2,6,5,2,100,50,150
30,20.8399,20.7577,20.5758,10.3275,9.73811,10.9838,2,2,3,6,6,9,100,50,100
31,20.7338,20.6671,20.9457,10.6707,10.4972,10.7669,3,1,3,6,7,7,150,100,150
32,20.8122,20.7257,20.6566,10.4997,10.3507,10.5474,3,3,3,6,7,8,150,150,50
33,20.8667,20.5966,20.4598,10.4897,10.6762,11.6751,3,1,2,6,8,1,100,150,50
34,20.6015,20.7924,20.7732,10.647,10.2666,11.0772,1,3,1,6,11,6,50,50,100
35,20.8072,20.7029,20.7955,10.5612,10.1643,4.34783,1,2,1,6,12,1,50,50,100
36,20.7024,20.7652,20.7605,10.185,10.5921,10.8475,3,3,3,6,12,7,150,50,150
37,20.7109,20.8236,20.8481,11.2241,10.3615,10.8063,2,1,2,7,6,4,150,100,100
38,20.878,20.7367,20.4055,10.6647,10.4862,10.249,1,3,3,7,11,2,100,50,50
39,20.9552,20.663,20.6643,11.033,10.5876,10.309,1,2,2,7,11,5,150,50,100
40,20.7178,21.0638,21.073,10.794,9.61538,10.1254,3,3,3,8,1,2,150,50,100
41,20.7261,20.8944,20.7071,10.2015,10.4469,10.2206,2,3,2,8,3,12,150,50,50
42,20.8836,20.6977,20.7232,10.9147,9.51178,10.164,3,1,1,8,4,9,100,150,150
43,20.6485,20.9692,20.848,9.98532,10.008,10.7708,1,3,1,8,4,11,150,50,150
