Run,Application1AverageBandWidth,Application2AverageBandWidth,Application3AverageBandWidth,Application1ErrorRate,Application2ErrorRate,Application3ErrorRate,Application1Noise,Application2Noise,Application3Noise,Application1Peak,Application2Peak,Application3Peak,Application1Shift,Application2Shift,Application3Shift
1,10,20,26.3962,24.2424,10.6813,4.25806,1,3,2,1,3,11,50,100,50
2,10,20,26.6417,19.9357,10.083,4.6729,3,3,1,1,4,8,150,50,150
3,10,20.291,26.5512,21.1765,10.0575,4.16988,3,1,2,1,12,11,100,150,50
4,10,20,26.5776,20.9026,9.89011,3.92445,1,1,2,2,1,8,150,150,150
5,10,20,30,20.2686,9.83911,0,1,2,1,2,3,1,100,150,50
6,10,20,26.6499,19.1076,9.56163,4.52583,2,1,1,2,5,9,150,150,50
7,10,20.2341,26.519,18.6215,10.7727,3.99486,1,3,2,2,6,12,50,100,100
8,10,20.0771,29.5824,17.5381,9.56039,1.55556,2,3,2,2,10,2,100,100,150
9,10,20.1259,26.6337,18.0921,10.1003,4.0534,2,1,1,2,10,9,50,50,150
10,10,20.2539,27.8418,19.265,9.76708,3.01242,2,3,3,2,11,5,150,100,50
11,10,20.1916,27.9291,19.7015,10.3529,2.81201,3,3,2,2,12,5,100,100,50
12,10,20,27.0085,20.5083,7.98611,3.72591,2,3,1,3,1,7,150,50,50
13,10,20,26.3707,19.8663,10.1974,4.53767,2,3,2,3,1,10,100,50,100
14,10,20,30,20.7043,9.84694,0.724638,2,3,1,3,6,2,150,50,50
15,10,20,26.5107,19.2238,10.2841,4.78312,2,2,1,3,6,12,50,50,100
16,10,20.284,26.76,19.8754,9.30831,4.44121,3,2,2,3,8,8,100,150,50
17,10,20.6854,27.3793,22.2884,9.35447,3.58056,2,3,1,3,10,6,150,150,150
18,10,20,27.8171,20.665,9.15033,3.33611,1,3,2,4,1,4,50,150,50
19,10,20,27.0513,21.1664,8.55615,3.90192,2,2,2,4,2,7,100,150,50
20,10,20,29.6949,19.4672,10.8986,1.62602,3,3,1,4,3,3,150,150,150
21,10,20,26.3899,20.1089,11.0408,4.98785,3,2,2,4,6,10,100,50,100
22,10,20,29.1833,21.1976,9.80472,1.95312,2,2,3,5,4,2,50,150,100
23,10.024,21.5275,26.8268,20.5462,10.0733,4.33831,2,2,1,5,8,11,50,100,100
24,10,20.5136,26.6028,19.9554,10.0931,4.22154,1,2,2,5,8,12,50,150,150
25,10,20.0013,27.8178,18.8506,9.89878,3.55537,3,2,2,5,12,4,50,100,50
26,10.0234,20.7028,27.2026,19.0898,10.0163,3.55994,3,3,1,5,12,7,100,50,100
27,10,20,27.9694,19.4303,9.73154,3.17125,2,3,1,6,1,4,50,150,50
28,10,20,27.0224,19.5597,10.2588,3.688,1,2,2,6,5,7,50,150,50
29,10.0064,20.4259,26.7547,20.3704,10.2761,4.10256,2,1,2,6,8,9,100,100,50
30,10.0158,20.6115,26.8941,19.4805,9.4476,4.01349,2,1,2,6,11,9,100,100,50
31,10.0052,20,27.8012,18.9608,9.93432,3.11517,3,3,2,7,4,5,100,150,100
32,10.0081,20,26.5975,20.9819,11.0513,4.10809,2,3,2,7,4,8,150,100,150
33,10,20,26.3827,20.8761,9.92853,4.25806,3,2,1,7,6,11,50,150,50
34,10.0081,20,27.7771,21.3257,10.3412,3.74449,3,1,2,7,7,5,150,150,150
35,10.0079,20.0427,27.7964,20.0677,9.35716,2.91719,2,2,2,7,8,5,150,100,50
36,10.0495,20.5498,26.5706,19.0074,9.80488,4.12253,3,2,3,7,9,10,100,100,150
37,10.0026,20.4102,28.6447,19.9498,10.677,2.84698,3,2,3,7,10,1,50,100,150
38,10.0132,20,29.6703,20.712,9.51698,1.12853,3,2,1,7,10,3,100,50,150
39,10.0434,21.3953,27.0303,21.1629,9.80981,4.22175,2,2,3,7,10,10,150,50,50
40,10.0052,20,26.4079,18.7684,10.2541,4.83036,3,3,1,7,11,10,150,50,100
41,10,20,29.5563,20.8182,11.5385,1.78771,3,3,2,8,2,2,50,100,100
42,10.0411,20.6075,27.2079,20.0585,9.22897,3.86504,2,2,1,8,12,7,50,50,100
43,10.0139,20,26.9958,19.2765,10.687,3.5887,1,1,2,9,5,6,150,100,50
44,10.0279,20,27.82,19.4404,9.95001,3.93443,1,2,3,9,9,4,150,150,100
45,11.8117,20,27.7579,18.2519,11.9332,2.92913,2,1,2,10,2,5,100,100,150
46,10.0018,20,26.6179,20.3791,9.41447,4.37822,1,3,2,10,3,8,50,150,150
47,11.7972,20,26.3602,18.7446,10.559,4.31913,2,1,1,10,3,10,50,50,100
48,10.0089,20,29.2043,19.4764,9.65386,2.30326,1,1,3,10,5,2,100,100,50
49,12.1905,20.5829,28.5714,18.6897,10.5958,0.617284,2,1,3,10,10,1,150,50,100
50,14.0918,21.4087,30,16.9666,9.19407,1.07656,3,3,1,10,11,2,50,100,50
51,11.6891,20,29.2944,18.3813,7.44681,1.87933,1,1,3,11,1,2,100,50,50
52,11.8695,20,30,18.6128,9.60825,0,1,2,2,11,4,1,100,150,50
53,13.8089,20,27.7404,16.5042,10.0042,3.17264,3,2,3,11,4,4,150,50,150
54,14.0277,20.8743,27.2834,16.4093,9.34555,3.93984,1,2,3,11,11,7,100,100,100
55,12.0203,20.1943,26.4797,18.4295,9.87511,4.53632,1,2,3,11,11,10,100,150,50
56,15.0914,20.9398,26.6038,15.5207,9.66123,4.18758,2,3,1,12,4,10,50,50,50
57,14.3871,21.3067,29.7491,15.9221,8.78885,1.54416,1,1,1,12,7,3,50,100,100
58,13.8929,20,29.4969,16.7644,10.1884,1.68878,1,1,2,12,8,3,150,50,50
59,12.8716,20,27.084,17.7423,9.7906,3.71129,1,1,1,12,8,6,100,150,150
