Run,Application1AverageBandWidth,Application2AverageBandWidth,Application3AverageBandWidth,Application1ErrorRate,Application2ErrorRate,Application3ErrorRate,Application1Noise,Application2Noise,Application3Noise,Application1Peak,Application2Peak,Application3Peak,Application1Shift,Application2Shift,Application3Shift
1,10,20,25.7959,17.3285,9.2775,5.09942,3,2,2,1,4,5,150,150,100
2,10,20,25.7909,16.5049,10.261,4.9815,3,3,2,1,6,10,50,100,50
3,10,20,25.7774,17.4051,10.9091,4.85535,3,2,3,1,7,6,100,100,150
4,10,20,25.7853,16.2264,10.6209,4.81166,3,1,3,1,9,11,100,50,50
5,10,20,25.8061,16.3462,9.51347,5.37697,2,2,3,1,11,3,100,100,150
6,10,20,25.7983,16.4835,9.42599,5.05306,1,1,3,1,12,6,100,150,150
7,10,20,25.7822,20.9059,10.4152,4.77423,3,1,1,1,12,10,50,100,100
8,10,20,25.7826,18.9602,9.76744,4.9435,3,2,2,2,1,12,150,100,100
9,10,20,25.8192,18.4179,9.80993,5.47019,1,2,1,2,3,3,150,150,150
10,10,20,25.7989,19.5388,10.0733,5.25813,1,1,1,2,5,5,50,150,100
11,10,20,25.7821,19.1057,10.0791,4.88028,3,3,2,2,6,8,150,50,50
12,10,20,25.7761,20.304,10.8806,5.03005,2,2,1,2,7,5,50,50,50
13,10,20,25.7511,20.7,9.82175,4.31211,3,2,1,2,8,6,50,100,50
14,10,20,25.7758,20.062,9.59578,4.77564,2,1,1,2,12,9,100,100,100
15,10,20,25.7714,20.2101,8.41121,4.67542,1,3,2,3,1,12,150,50,100
16,10,20,25.7974,19.5078,10.2385,5.01381,2,3,2,3,3,7,100,150,50
17,10,20,25.7856,20.2728,8.97155,4.52941,1,2,2,3,5,3,100,50,100
18,10,20,25.7736,20.7654,9.52075,4.62791,1,1,2,3,9,10,150,150,150
19,10,20,25.7971,19.4187,9.92428,5.14013,2,2,2,3,9,11,50,100,50
20,10,20,25.808,19.2584,8.73786,4.96183,3,1,2,4,1,8,150,100,100
21,10,20,25.7877,19.8502,11.215,4.86309,3,1,1,4,1,10,100,50,100
22,10,20,25.7993,18.7967,9.84907,5.0668,2,2,2,4,6,6,150,100,100
23,10,20,25.7673,19.1734,10.7374,4.55535,2,3,3,4,6,8,100,100,100
24,10,20,25.7758,18.5903,10.1301,4.77102,2,1,3,4,6,9,50,150,150
25,10,20,25.7745,19.0894,10.3288,4.47154,2,3,3,4,9,4,150,100,50
26,10,20,25.7629,20.6068,10.088,4.27481,1,2,2,4,12,6,100,50,50
27,10,20,25.873,20.578,10.7843,5.97015,3,1,2,5,1,1,100,100,50
28,10,20,25.8079,19.9241,9.58606,4.95815,1,2,1,5,2,9,150,100,150
29,10,20,25.807,19.4233,10.5901,5.0924,1,3,3,5,5,4,50,100,150
30,10,20,25.7853,20.7965,10.1886,4.80246,2,2,3,5,10,8,100,50,100
31,10,20,25.8081,21.0707,10.687,4.38684,3,3,3,5,12,2,50,50,50
32,10,20,25.7467,19.9436,9.90099,4.28632,1,3,2,6,1,7,100,50,150
33,10,20,25.784,20.9373,5.74163,4.95878,2,2,2,6,1,11,150,100,150
34,10,20,25.7763,20.2699,8.52535,5.15523,2,3,3,6,3,10,50,100,100
35,10,20,25.7926,19.2573,11.6827,5.1651,3,3,2,7,2,8,100,50,150
36,10,20,25.7813,20.2153,10.6442,5.0227,3,1,3,7,7,10,100,150,150
37,10,20,25.7978,18.4448,9.79644,5.34292,3,2,3,7,7,11,150,50,100
38,10,20,25.7886,19.3446,10.4926,5.20177,2,1,2,7,8,12,100,100,100
39,10,20,25.7996,19.3228,10.1709,4.9886,2,1,3,7,9,6,150,100,100
