Run,Application1AverageBandWidth,Application2AverageBandWidth,Application3AverageBandWidth,Application1ErrorRate,Application2ErrorRate,Application3ErrorRate,Application1Noise,Application2Noise,Application3Noise,Application1Peak,Application2Peak,Application3Peak,Application1Shift,Application2Shift,Application3Shift
1,19.7222,20.6259,20.5766,10,9.74212,10.3626,1,3,2,1,4,6,150,50,150
2,20.5576,20.6521,20.4286,10.7301,10.431,12.5,2,1,1,2,6,1,50,100,100
3,21.071,20.7209,20.7139,9.45455,10.875,10.6612,1,3,2,2,6,12,150,150,50
4,20.8049,20.7299,20.7812,9.79098,10.1859,9.43396,2,3,2,2,10,1,150,50,150
5,20.8112,21.0476,20.5703,9.56103,7.07965,10.1311,2,1,1,3,1,2,150,100,50
6,20.8328,20.8345,20.7794,10.3069,10.0448,10.9914,3,1,1,3,7,5,100,50,150
7,20.6197,20.6748,20.8088,11.1389,10.1928,9.93261,2,1,3,3,7,9,50,50,50
8,20.8723,20.8521,20.3178,11.7095,10.7035,9.72973,1,2,1,3,10,4,150,50,50
9,20.5169,20.8088,20.7762,9.66301,7.48299,10.3432,2,3,3,4,1,9,50,150,50
10,20.5242,20.9639,20.6603,10.522,12.0424,11.0043,3,3,2,4,2,2,150,50,100
11,20.842,20.6531,20.5854,10.1817,9.37115,9.69163,1,1,2,4,2,10,100,100,50
12,20.6676,20.5284,20.7316,10.1702,9.98811,9.8778,3,3,1,4,3,6,100,100,150
13,20.7577,20.6254,20.6641,10.4065,11.0355,8.65724,3,3,3,4,5,3,100,50,150
14,20.6737,20.6762,20.8142,8.873,10.3764,10.7126,1,2,2,4,7,9,150,150,100
15,20.7853,20.855,20.706,10.5198,10.2847,10.1144,1,3,2,4,7,9,50,50,100
16,20.3185,20.821,20.841,9.51009,10.5598,10.2869,2,3,2,4,8,7,100,100,100
17,20.7305,20.7892,20.6108,11.4404,9.66797,9.50311,1,3,1,5,2,3,50,100,50
18,20.7714,20.5982,20.6587,9.8277,10.8652,10.4176,2,3,1,5,2,7,150,50,100
19,20.6391,20.9597,20.3478,11.0794,10.5721,9.71541,1,1,3,5,3,2,50,150,150
20,20.7288,20.4587,20.8434,9.74248,11.5006,10.906,3,1,2,5,3,7,50,100,50
21,20.7249,20.8096,20.6967,10.8365,10.1152,9.61377,1,3,1,5,7,4,50,50,100
22,20.7514,20.6399,20.7605,9.69356,10.4889,9.70224,3,3,3,5,8,10,100,100,150
23,20.6355,20.7197,20.6651,9.55859,10.6887,8.87446,1,3,2,5,10,2,50,150,50
24,20.8945,20.7605,20.6877,10.0848,10.4681,9.95083,3,3,2,5,10,12,100,50,100
25,20.8858,20.6358,21.1323,10.3655,10.3612,10.5418,2,3,3,5,11,3,50,100,150
