Run,Application1AverageBandWidth,Application2AverageBandWidth,Application3AverageBandWidth,Application1ErrorRate,Application2ErrorRate,Application3ErrorRate,Application1Noise,Application2Noise,Application3Noise,Application1Peak,Application2Peak,Application3Peak,Application1Shift,Application2Shift,Application3Shift
1,19.7222,20.6259,20.5766,10,9.74212,10.3626,1,3,2,1,4,6,150,50,150
2,20.4845,20.6831,20.2469,12.5,10.9407,13.8298,2,1,1,2,6,1,50,100,100
3,20.2199,20.7161,20.756,9.37866,10.1944,10.5534,1,3,2,2,6,12,150,150,50
4,20.7376,20.6398,20.3571,10.3037,9.7047,9.67742,2,3,2,2,10,1,150,50,150
5,20.5716,21.6867,20.5534,10.2053,13.5417,9.85748,2,1,1,3,1,2,150,100,50
6,20.9167,20.8509,20.4781,10.5658,9.45859,10.9027,3,1,1,3,7,5,100,50,150
7,20.8702,20.8493,20.6796,10.5775,10.1088,9.84763,2,1,3,3,7,9,50,50,50
8,20.9212,20.7272,20.8089,11.1805,10.3488,10.4996,1,2,1,3,10,4,150,50,50
9,21.1002,19.5018,20.7066,10.2521,13.5385,10.2067,2,3,3,4,1,9,50,150,50
10,20.6938,20.3527,20.9542,12.1495,9.66084,11.5861,3,3,2,4,2,2,150,50,100
11,20.7435,20.5046,20.7256,10.7518,9.60384,10.3017,1,1,2,4,2,10,100,100,50
12,20.5663,20.4651,20.7307,9.40554,11.391,9.03998,3,3,1,4,3,6,100,100,150
13,20.6157,20.5762,20.8333,10.9278,10.2208,10.3002,3,3,3,4,5,3,100,50,150
14,20.7116,20.6207,20.8025,10.1388,9.79349,10.3766,1,2,2,4,7,9,150,150,100
15,20.7287,20.7285,20.711,10.6303,10.0588,10.7229,1,3,2,4,7,9,50,50,100
16,20.6441,20.6755,20.9112,9.88061,10.1956,10.0342,2,3,2,4,8,7,100,100,100
17,20.6868,20.7589,20.9939,11.5177,9.67742,10.2078,1,3,1,5,2,3,50,100,50
18,21.0761,20.793,20.3972,10.5163,10.8055,10.2482,2,3,1,5,2,7,150,50,100
19,20.861,20.9944,20.2356,10.8805,10.5165,11.0995,1,1,3,5,3,2,50,150,150
20,20.8627,20.6094,20.7055,10.0697,11.0837,10.7226,3,1,2,5,3,7,50,100,50
21,20.942,20.631,20.5844,9.51018,10.2304,9.11752,1,3,1,5,7,4,50,50,100
22,20.7375,20.7034,20.7363,9.60876,10.3417,9.95274,3,3,3,5,8,10,100,100,150
23,20.8392,20.6801,20.5882,9.52986,10.3359,11.0142,1,3,2,5,10,2,50,150,50
24,20.6505,20.778,20.7322,10.0954,10.3731,10.1814,3,3,2,5,10,12,100,50,100
25,20.7074,20.8141,20.6041,11.2274,10.4089,9.7214,2,3,3,5,11,3,50,100,150
26,20.6958,20.738,20.7345,10.5971,10.1669,10.5307,2,2,1,5,12,4,50,50,100
27,20.6485,20.5495,20.9783,9.54799,6.82594,11.5385,2,3,1,6,1,2,50,50,50
28,20.8232,20.7692,20.7024,10.242,11.0444,10.154,1,1,2,6,2,12,100,50,100
29,20.7416,20.6345,21.0345,10.5932,10.8407,8.66142,3,2,2,6,5,2,100,50,150
30,20.9263,20.8614,20.5517,10.3833,10.2866,10.2817,2,2,3,6,6,9,100,50,100
31,20.6296,20.7744,20.7926,10.2837,10.1862,10.8723,3,1,3,6,7,7,150,100,150
32,20.6252,20.8481,20.8617,10.8027,11.0057,10.4547,3,3,3,6,7,8,150,150,50
33,20.5824,20.8028,20.995,10.5687,10.5685,12.2271,3,1,2,6,8,1,100,150,50
34,20.7575,20.7405,20.8417,10.0889,10.5351,10.7916,1,3,1,6,11,6,50,50,100
35,20.7761,20.712,21.6,11.3101,9.77611,17.5824,1,2,1,6,12,1,50,50,100
36,20.8237,20.7982,20.6289,10.2759,10.4039,10.1493,3,3,3,6,12,7,150,50,150
37,20.6628,20.7926,20.7761,10.8004,10.5452,11.2558,2,1,2,7,6,4,150,100,100
38,20.7462,20.7266,21.2584,10.5632,10.3891,8.55397,1,3,3,7,11,2,100,50,50
39,20.9603,20.782,20.6254,9.92757,10.9201,10.5313,1,2,2,7,11,5,150,50,100
40,20.7308,20.7074,20.079,9.97807,9.59302,10.9548,3,3,3,8,1,2,150,50,100
41,20.9506,20.5538,20.6767,11.1458,10.3866,9.84395,2,3,2,8,3,12,150,50,50
42,20.83,20.4916,20.8592,10.533,10.2898,10.4187,3,1,1,8,4,9,100,150,150
43,20.825,20.7283,20.7013,10.4163,10.4362,10.5998,1,3,1,8,4,11,150,50,150
44,20.7557,20.63,20.7579,10.2555,10.0102,10.3509,3,1,2,8,6,12,150,50,100
45,20.9467,20.6721,20.5567,9.726,10.2927,10.4064,3,2,2,8,9,3,100,150,100
46,20.7669,20.7565,20.5974,9.90678,10.208,10.2171,3,3,3,8,11,5,100,50,100
47,20.6266,20.7384,20.7546,10.5187,10.9392,10.8333,2,2,3,9,7,5,50,50,150
48,20.684,20.6957,20.7949,10.1472,10.0909,10.2143,3,3,1,9,8,9,100,100,150
49,20.8616,20.8259,20.2363,9.71583,11.2339,10.5668,3,1,3,9,10,2,150,50,50
50,20.8693,20.7277,20.6487,10.4494,10.3929,10.1926,2,3,3,9,10,12,50,150,100
51,20.7126,20.846,20.6643,10.8884,10.632,9.49367,2,2,3,9,12,1,100,100,100
52,20.7537,20.731,20.8357,10.3586,10.344,10.7786,3,2,3,9,12,6,100,100,100
53,20.8087,20.6009,20.339,10.2553,11.5346,10.7027,2,3,2,10,2,2,50,100,150
54,20.8006,20.4964,20.6246,10.0372,10.0218,10.0603,2,2,1,10,2,5,100,150,150
55,20.778,20.8368,20.7096,10.7332,9.32836,10.2235,1,2,1,10,4,6,50,50,150
56,20.8084,20.6774,20.691,10.7829,11.2313,10.1691,2,1,1,10,5,11,50,150,100
57,20.7093,20.7709,20.6871,10.2509,10.1347,10.4132,3,3,1,10,7,4,100,150,150
58,20.7551,20.77,20.6755,10.6196,10.612,10.1377,3,2,3,10,10,9,50,150,150
59,20.6994,20.6669,20.5824,10.5331,10.0218,11.4786,3,2,3,10,11,2,150,150,100
60,20.6952,20.6952,20.7922,10.1378,10.6667,11.0988,2,2,2,11,12,8,150,50,50
61,20.6375,21.6484,20.893,10.393,15.7407,9.64928,3,1,3,12,1,8,150,100,50
62,20.6583,20.8452,20.8468,10.5479,10.7442,9.50466,2,1,2,12,6,7,150,100,50
63,20.7741,20.7897,20.8894,10.6086,10.089,10.0974,3,3,2,12,7,6,100,100,100
