Run,Application1AverageBandWidth,Application2AverageBandWidth,Application3AverageBandWidth,Application1ErrorRate,Application2ErrorRate,Application3ErrorRate,Application1Noise,Application2Noise,Application3Noise,Application1Peak,Application2Peak,Application3Peak,Application1Shift,Application2Shift,Application3Shift
1,10.1449,11.25,12.6316,25.8065,23.8095,18.8034,1,1,1,1,1,1,50,50,50
2,13.7195,11.6,14.5478,15.4639,17.5824,15.4102,2,1,2,1,1,2,100,150,150
3,13.7975,15.1872,16.6099,18.5567,13.8249,14.7634,2,2,1,1,1,3,50,150,100
4,13.5211,17.9928,19.0005,15.4762,13.0841,12.3051,2,3,2,1,1,4,50,50,100
5,16.7713,17.4502,19.7593,16.4794,16.3333,11.8451,3,3,2,1,1,9,100,150,50
6,14.0385,19.5621,20.5149,13.6929,11.1607,10.578,2,1,2,1,7,9,50,50,150
7,17.3518,19.7477,20.8103,15.6667,11.4868,10.2479,3,1,2,1,11,4,150,50,100
8,10.1124,19.8,20.7738,14.4231,11.2783,10.6315,1,2,1,1,11,12,50,50,100
9,10.9654,17.4107,20.6423,18.6401,9.67742,10.3028,1,1,2,2,1,4,100,150,50
10,13.4788,20.745,20.4428,15.0301,9.24318,11.0879,3,1,1,2,3,9,100,50,50
11,11.035,21.925,20.3185,17.6267,8.20425,10.8856,1,3,1,2,3,12,150,150,100
12,11.0479,20.4981,20.4865,19.8079,10.7603,8.867,1,1,2,2,4,1,150,50,50
13,12.3389,20.7793,20.5949,20.5784,10.3976,11.0696,2,3,1,2,6,11,150,100,100
14,13.9532,20.6342,20.7026,16.9096,10.1733,10.8116,3,3,1,2,9,10,100,150,150
15,13.4751,20.4645,21.5621,16.9526,10.5493,10.4067,3,3,1,2,11,2,150,50,100
16,12.7112,20.4745,20.657,19.0739,10.4789,10.1716,2,1,2,2,11,4,50,150,50
17,12.8609,20.5654,20.6778,17.1739,10.5597,10.9521,2,1,1,2,12,3,150,50,100
18,15.0179,20.9685,20.8767,13.8528,10.3353,9.43284,1,3,2,3,6,3,150,50,100
19,14.791,20.9507,20.5668,15.6702,10.759,11.1217,1,1,2,3,6,5,150,100,50
20,15.5177,20.7247,20.8856,15.0463,10.346,11.0866,3,1,3,3,12,5,150,150,50
21,18.3882,17.9779,20.7794,12.8791,12.069,10.78,2,2,2,4,2,7,50,150,50
22,18.3712,18.4908,20.8383,12.4015,12.8457,10.2649,2,1,1,4,3,12,100,150,150
23,18.6676,20.0528,20.6605,11.7942,11.1206,9.47962,3,1,1,4,7,12,150,50,50
24,18.6583,20.0939,21.6,13.2151,11.0629,11.6162,3,3,2,4,9,1,50,100,100
25,18.4804,20.1491,20.8393,12.6546,10.4024,10.4956,2,3,2,4,9,11,100,100,150
26,18.3129,20.4257,20.6835,12.1262,11.0528,10.03,2,2,3,4,11,10,100,100,100
27,18.7308,20.2654,21.029,12.2441,10.2745,9.46343,3,2,1,4,12,8,150,150,150
28,18.3109,20.7435,22.0128,12.9172,7.56014,8.31869,3,3,3,5,1,3,50,50,50
29,18.1988,20.5874,20.5319,12.0406,10.4557,8.73786,3,2,2,5,7,1,50,150,50
30,18.1778,20.6319,20.9333,13.0449,10.7258,10.4357,1,3,2,5,8,6,100,100,100
31,18.3154,20.963,20.5229,12.7273,9.82761,10.2832,3,2,3,5,9,10,150,150,150
32,18.0209,20.613,21.0677,12.151,10.6917,10.217,1,1,3,5,11,6,150,150,100
33,18.4919,21.2414,20.8406,12.2914,8.80503,10.832,3,3,3,6,1,4,100,100,100
34,18.4908,20.9278,20.8033,12.6048,8.49057,9.66447,2,2,3,6,1,9,150,150,50
35,18.4598,21.1581,20.7089,11.8709,9.875,11.0364,2,1,1,6,3,11,50,150,50
36,18.2691,20.7442,21.3333,11.5641,11.3402,7.69231,1,2,2,6,4,1,100,50,50
37,18.4941,20.9907,20.7015,12.3423,10.559,11.1294,3,2,3,6,4,8,150,150,50
38,18.5593,20.8313,20.6857,12.7708,9.87881,9.73561,2,1,3,6,8,5,50,150,50
39,18.4627,20.9542,20.8714,12.9271,10.6781,14.841,2,3,3,6,9,1,50,100,150
40,19.4977,19.1705,20.8821,12.5937,12.1283,9.72339,2,3,1,7,3,4,100,150,50
41,19.3609,20.2117,20.5465,11.6723,10.8191,10.1166,2,3,1,7,6,4,100,150,100
42,19.4617,20.4897,20.5161,11.2793,10.3963,11.5394,1,2,2,7,11,6,100,50,150
43,19.3395,20.5405,20.4148,10.9237,10.5495,10.8861,2,1,2,7,11,6,150,50,100
44,19.3854,20.4562,20.7931,11.3453,10.723,9.90791,2,3,3,7,11,9,100,100,150
45,19.2674,19.9875,21.519,11.712,9.97758,11.236,3,2,1,8,2,1,100,150,150
46,19.2362,20.8568,20.5415,12.2054,9.50939,10.8259,1,2,2,8,3,6,150,100,150
47,19.3465,20.9295,20.5188,12.7718,9.58181,10.3493,3,3,1,8,4,8,150,150,50
48,19.3128,20.5482,20.7489,11.4754,10.5983,10.2251,3,1,3,8,5,5,50,50,150
49,19.2357,20.8246,19.8068,11.8414,10.0086,12,2,1,3,8,7,2,100,150,50
50,19.3499,21.2,21.2951,11.848,4.7619,9.09091,2,1,1,9,1,5,50,150,50
51,19.3268,22.534,20.6736,11.5551,9.13416,10.196,3,3,3,9,2,10,50,100,50
52,19.3336,20.8125,20.7355,11.6902,10.7633,10.4115,3,1,1,9,5,12,50,150,100
53,19.3648,20.891,20.4651,11.5298,10.591,9.9665,2,1,1,9,8,4,100,150,50
54,19.3077,20.801,20.8225,11.6245,10.2106,10.4651,1,3,3,9,11,1,50,100,150
55,19.846,19.7647,20.3797,11.4175,14.1414,16.8421,1,1,1,10,1,1,100,50,50
56,19.7618,19.8925,19.6033,11.3173,10.5769,9.4438,2,1,3,10,1,3,100,150,50
57,19.7903,20.5263,20.6714,11.4676,12.844,10.5361,1,1,1,10,1,10,150,150,150
58,19.7803,19.5036,20.6058,11.2943,12.961,10.466,1,2,1,10,2,6,50,50,150
59,19.8335,20.0859,20.6476,11.3213,10.1908,10.3114,2,3,1,10,4,4,50,150,150
60,19.791,19.9407,20.6504,10.6119,10.522,10.0516,2,2,1,10,4,10,50,150,50
61,19.7956,20.2586,20.6838,10.744,10.4808,9.80449,3,2,3,10,6,10,150,150,150
62,19.6811,20.1749,20.8915,11.8375,10.9056,9.51294,1,3,3,11,2,6,100,100,50
63,19.6495,20.6445,20.9515,11.1872,10.1171,10.0497,1,2,3,11,7,9,100,100,100
64,19.5959,20.7255,20.459,11.1439,10.3952,10.4608,2,2,1,11,10,3,50,50,150
65,19.6813,20.8508,20.6298,10.7266,10.4113,10.5656,3,1,2,11,11,12,50,150,150
