Run,Application1AverageBandWidth,Application2AverageBandWidth,Application3AverageBandWidth,Application1ErrorRate,Application2ErrorRate,Application3ErrorRate,Application1Noise,Application2Noise,Application3Noise,Application1Peak,Application2Peak,Application3Peak,Application1Shift,Application2Shift,Application3Shift
1,10,20,25.7881,17.9211,9.26689,5.11872,3,2,2,1,4,5,150,150,100
2,10,20,25.7916,17.0659,10.2455,4.97214,3,3,2,1,6,10,50,100,50
3,10,20,25.7723,18.2131,10.9249,4.8004,3,2,3,1,7,6,100,100,150
4,10,20,25.7875,16.4336,10.626,4.85027,3,1,3,1,9,11,100,50,50
5,10,20,25.8162,17.1271,9.51644,5.64746,2,2,3,1,11,3,100,100,150
6,10,20,25.8011,17.4419,9.42777,5.0617,1,1,3,1,12,6,100,150,150
7,10,20,25.7805,20.6667,10.4327,4.74144,3,1,1,1,12,10,50,100,100
8,10,20,25.7833,19.2079,9.31373,4.94435,3,2,2,2,1,12,150,100,100
9,10,20,25.8223,17.9976,9.70464,5.51378,1,2,1,2,3,3,150,150,150
10,10,20,25.7983,19.5889,10.0445,5.25478,1,1,1,2,5,5,50,150,100
11,10,20,25.7828,19.1468,10.0634,4.89011,3,3,2,2,6,8,150,50,50
12,10,20,25.7814,20.3024,10.857,5.12249,2,2,1,2,7,5,50,50,50
13,10,20,25.7519,20.6931,9.8268,4.34562,3,2,1,2,8,6,50,100,50
14,10,20,25.7752,20.1469,9.60658,4.70532,2,1,1,2,12,9,100,100,100
15,10,20,25.7704,20.3252,8.43373,4.66612,1,3,2,3,1,12,150,50,100
16,10,20,25.7965,19.5626,10.2594,4.9819,2,3,2,3,3,7,100,150,50
17,10,20,25.7955,20.2736,8.919,4.63576,1,2,2,3,5,3,100,50,100
18,10,20,25.7746,20.9288,9.50625,4.63888,1,1,2,3,9,10,150,150,150
19,10,20,25.7997,19.4701,9.90452,5.17974,2,2,2,3,9,11,50,100,50
20,10,20,25.8093,19.3047,8.77193,4.96894,3,1,2,4,1,8,150,100,100
21,10,20,25.7903,19.6902,12.037,4.85075,3,1,1,4,1,10,100,50,100
22,10,20,25.7949,18.75,9.90201,4.98482,2,2,2,4,6,6,150,100,100
23,10,20,25.7754,19.2482,10.6215,4.70093,2,3,3,4,6,8,100,100,100
24,10,20,25.7753,18.4211,10.1038,4.75733,2,1,3,4,6,9,50,150,150
25,10,20,25.771,19.1062,10.356,4.47942,2,3,3,4,9,4,150,100,50
26,10,20,25.7632,20.4346,10.0892,4.26938,1,2,2,4,12,6,100,50,50
27,10,20,25.9091,20.4609,10.5769,6.38298,3,1,2,5,1,1,100,100,50
28,10,20,25.8062,19.8984,9.6882,4.92777,1,2,1,5,2,9,150,100,150
29,10,20,25.8123,19.4304,10.5213,5.22537,1,3,3,5,5,4,50,100,150
30,10,20,25.7853,20.7911,10.2003,4.82456,2,2,3,5,10,8,100,50,100
31,10,20,25.8188,21.0215,10.6606,4.58333,3,3,3,5,12,2,50,50,50
32,10,20,25.7455,19.8981,9.83607,4.29395,1,3,2,6,1,7,100,50,150
33,10,20,25.7845,20.9184,5.88235,4.96582,2,2,2,6,1,11,150,100,150
34,10,20,25.7797,20.2236,8.35803,5.21219,2,3,3,6,3,10,50,100,100
35,10,20,25.7969,19.2723,11.33,5.25741,3,3,2,7,2,8,100,50,150
36,10,20,25.7808,20.199,10.6446,5.00142,3,1,3,7,7,10,100,150,150
37,10,20,25.7977,18.5343,9.79436,5.33726,3,2,3,7,7,11,150,50,100
38,10,20,25.7895,19.3167,10.4993,5.22196,2,1,2,7,8,12,100,100,100
39,10,20,25.8029,19.2414,10.1573,5.03271,2,1,3,7,9,6,150,100,100
40,10,20,25.7746,20.2262,9.69264,4.7954,1,1,1,7,10,12,50,150,150
41,10,20,25.7981,20.6214,7.28155,5.51553,3,2,3,8,1,6,50,100,100
42,10,20,25.7867,19.1881,9.11345,4.91698,3,1,3,8,3,9,50,100,50
43,10,20,25.7888,20.3145,10.1346,5.3012,2,1,2,8,4,3,100,50,150
44,10,20,25.8116,19.5574,9.35673,5.08742,3,1,1,8,4,10,150,100,100
45,10,20,25.8031,20.0367,10.793,5.08997,1,1,2,8,9,11,50,100,50
46,10,20,25.8114,20.5145,10.7341,5.28672,1,1,2,9,3,7,100,150,100
47,10,20,25.8205,19.9165,9.64591,5.16717,2,3,2,9,4,3,50,150,100
48,10,20,25.7273,18.9796,9.36613,4.34783,2,2,1,9,5,1,50,150,150
49,10,20,25.7965,19.9325,10.3655,5.32157,1,3,2,9,7,10,100,150,100
50,10,20,25.8017,19.9421,10.0169,5.09609,2,3,3,9,7,10,150,150,100
51,11.131,20,25.7769,19.1695,9.56522,4.86111,3,3,3,9,8,2,50,50,150
52,10,20,25.7867,19.4611,9.38967,5.11583,1,2,2,10,1,9,50,150,100
53,12.188,20,25.8081,17.8228,10.3706,5.52357,2,3,3,10,6,7,150,50,150
54,11.1146,20,25.7772,18.6252,9.86423,4.863,2,2,3,10,7,8,150,150,150
55,12.2324,20,25.7834,18.5614,9.54894,5.5355,3,2,1,10,9,2,100,50,100
56,12.214,20,25.7834,18.0113,10.2109,5.17329,1,2,1,11,2,6,100,150,100
57,12.1855,20,25.7919,17.9356,10.0626,5.17593,2,3,1,11,6,6,100,150,100
58,14.2936,20,25.7953,16.1721,9.47771,5.37911,3,1,1,11,6,10,150,100,100
59,11.1155,20,25.7742,18.1666,10.9408,4.90817,1,3,2,11,7,5,100,150,150
60,13.2617,20,25.7932,17.2334,10.4358,4.98893,2,1,3,11,11,12,50,150,150
61,14.3228,20,25.8099,15.9778,10.1934,4.98351,3,2,2,11,12,8,100,50,150
62,14.2817,20,25.8091,16.2446,8.25243,5.58276,3,2,3,12,1,2,150,100,150
63,12.1803,20,25.7796,18.1019,7.10059,4.64223,1,3,2,12,1,12,150,100,150
64,12.1985,20,25.7812,18.2436,9.78847,3.7594,1,2,3,12,4,1,50,50,150
65,14.2693,20,25.772,15.6688,10.9549,4.60467,3,3,1,12,4,11,50,150,100
66,13.2455,20,25.7897,16.195,10.3328,4.4958,2,3,1,12,8,4,100,100,50
67,12.1993,20,25.7143,17.8743,10.2743,2,1,3,1,12,10,1,50,50,50
68,13.239,20,25.7936,16.5119,11.1026,5.24485,2,2,2,12,11,11,100,100,150
