Run,Application1AverageBandWidth,Application2AverageBandWidth,Application3AverageBandWidth,Application1ErrorRate,Application2ErrorRate,Application3ErrorRate,Application1Noise,Application2Noise,Application3Noise,Application1Peak,Application2Peak,Application3Peak,Application1Shift,Application2Shift,Application3Shift
1,10,20,26.4205,24.2991,9.20974,4.47992,1,3,2,1,3,11,50,100,50
2,10,20,26.6449,18.0064,9.69722,4.6337,3,3,1,1,4,8,150,50,150
3,10,20.0969,26.4268,22.9572,10.2938,4.24929,3,1,2,1,12,11,100,150,50
4,10,20,26.6287,21.0976,14,4.38871,1,1,2,2,1,8,150,150,150
5,10,20,30,19.4048,9.64966,0,1,2,1,2,3,1,100,150,50
6,10,20,26.6385,18.5065,9.57075,4.56231,2,1,1,2,5,9,150,150,50
7,10,20,26.5067,20.2591,10.1944,4.33513,1,3,2,2,6,12,50,100,100
8,10,20,29.5005,17.8097,10.0357,1.81237,2,3,2,2,10,2,100,100,150
9,10,20.3045,26.6723,18.2119,9.81262,4.45696,2,1,1,2,10,9,50,50,150
10,10,20.8104,28.2511,18.589,9.36176,2.95306,2,3,3,2,11,5,150,100,50
11,10,20.456,28.2219,19.4332,10.1176,2.72929,3,3,2,2,12,5,100,100,50
12,10,20,26.9833,20.7848,7.42049,3.17901,2,3,1,3,1,7,150,50,50
13,10,20,26.3883,18.914,10.0295,4.54415,2,3,2,3,1,10,100,50,100
14,10,20,29.9875,19.257,10.0429,0.618812,2,3,1,3,6,2,150,50,50
15,10,20,26.4793,20.5238,10.4035,4.22519,2,2,1,3,6,12,50,50,100
16,10,20,26.5857,19.1011,9.71993,4.17889,3,2,2,3,8,8,100,150,50
17,10,20.0016,27.0664,22.1892,9.75993,3.31295,2,3,1,3,10,6,150,150,150
18,10,20,27.8186,21.0859,6.73759,3.34029,1,3,2,4,1,4,50,150,50
19,10,20,27.0457,21.0793,10.5263,4.12569,2,2,2,4,2,7,100,150,50
20,10,20,29.6847,18.949,10.84,1.79567,3,3,1,4,3,3,150,150,150
21,10,20.063,26.4064,21.0963,10.6247,4.53303,3,2,2,4,6,10,100,50,100
22,10,20,29.2705,20.6732,10.7762,1.79104,2,2,3,5,4,2,50,150,100
23,10.008,20.7329,26.5847,20.8439,10.1019,4.13447,2,2,1,5,8,11,50,100,100
24,10,20.4732,26.6013,19.5935,9.38244,4.59703,1,2,2,5,8,12,50,150,150
25,10,20,27.864,19.7209,10.2185,3.26686,3,2,2,5,12,4,50,100,50
26,10.0077,20.3254,27.1419,19.19,9.68271,4.15871,3,3,1,5,12,7,100,50,100
27,10,20,27.9276,19.221,10.7807,3.08977,2,3,1,6,1,4,50,150,50
28,10,20,26.9834,19.6524,9.33249,3.2913,1,2,2,6,5,7,50,150,50
29,10.0446,20.9717,26.9774,20.173,9.8211,4.17671,2,1,2,6,8,9,100,100,50
30,10.0127,20.844,26.9462,19.3126,9.47341,3.84677,2,1,2,6,11,9,100,100,50
31,10.0026,20,27.7796,19.0506,9.39895,2.89809,3,3,2,7,4,5,100,150,100
32,10.008,20,26.5839,20.3869,9.76594,4.29737,2,3,2,7,4,8,150,100,150
33,10,20,26.3822,20.3177,10.6942,4.16023,3,2,1,7,6,11,50,150,50
34,10.0053,20,27.7314,20.5016,10.5443,3.19549,3,1,2,7,7,5,150,150,150
35,10.0053,20,27.7062,19.8932,9.34426,2.51256,2,2,2,7,8,5,150,100,50
36,10.0569,20.1885,26.4226,19.1044,9.4686,4.73609,3,2,3,7,9,10,100,100,150
37,10,20,28.5366,20.1627,10.4104,2.71186,3,2,3,7,10,1,50,100,150
38,10.0106,20.2724,29.6612,20.4608,9.5142,1.23916,3,2,1,7,10,3,100,50,150
39,10.0348,20.516,26.6276,20.0128,10.0897,4.53567,2,2,3,7,10,10,150,50,50
40,10.0079,20.3695,26.4996,19.0354,9.94454,4.55329,3,3,1,7,11,10,150,50,100
41,12.1743,20,29.5941,18.3841,12.2407,1.22494,3,3,2,8,2,2,50,100,100
42,10.5665,21.1547,27.3482,19.7644,9.29905,3.09234,2,2,1,8,12,7,50,50,100
43,10.014,20,27.0157,19.5823,10.9795,3.98061,1,1,2,9,5,6,150,100,50
44,10.0219,20,27.7333,19.3828,9.82186,4.20408,1,2,3,9,9,4,150,150,100
45,11.8099,20,27.8002,18.3446,11.2575,3.27353,2,1,2,10,2,5,100,100,150
46,11.7766,20,26.6031,18.6684,7.73381,4.11259,1,3,2,10,3,8,50,150,150
47,12.8798,20,26.3441,17.8215,9.75309,4.29492,2,1,1,10,3,10,50,50,100
48,11.7771,20,29.2607,17.8628,9.39597,1.57325,1,1,3,10,5,2,100,100,50
