Run,Application1AverageBandWidth,Application2AverageBandWidth,Application3AverageBandWidth,Application1ErrorRate,Application2ErrorRate,Application3ErrorRate,Application1Noise,Application2Noise,Application3Noise,Application1Peak,Application2Peak,Application3Peak,Application1Shift,Application2Shift,Application3Shift
1,19.7222,20.6259,20.5766,10,9.74212,10.3626,1,3,2,1,4,6,150,50,150
2,20.1942,20.8172,20.4545,11.1111,10.2249,11.1111,2,1,1,2,6,1,50,100,100
3,20.9711,20.7275,20.6727,9.82249,10.5718,10.3372,1,3,2,2,6,12,150,150,50
4,21.0675,20.5762,21.066,11.3166,10.153,7.51174,2,3,2,2,10,1,150,50,150
5,20.5284,21.7582,20.9548,9.66587,6.18557,9.56826,2,1,1,3,1,2,150,100,50
6,20.4665,21.0677,20.4277,10.9421,10.533,10.9206,3,1,1,3,7,5,100,50,150
7,20.593,20.6906,20.9214,8.95706,9.84168,10.9176,2,1,3,3,7,9,50,50,50
8,21.0474,20.753,20.4336,11.5216,10.2903,9.79815,1,2,1,3,10,4,150,50,50
9,20.6932,20.6597,20.6902,9.9459,13.5135,9.94218,2,3,3,4,1,9,50,150,50
10,20.8176,20.553,21.0222,10.7585,12.5881,11.1597,3,3,2,4,2,2,150,50,100
11,20.7533,20.2554,20.6999,10.6812,9.92736,10.3438,1,1,2,4,2,10,100,100,50
12,20.5888,20.4106,20.6365,9.5896,9.52666,9.81548,3,3,1,4,3,6,100,100,150
13,20.6642,20.8723,20.3234,10.0415,10.3074,10.1163,3,3,3,4,5,3,100,50,150
14,20.6893,20.7277,20.6828,8.7631,9.94698,10.5339,1,2,2,4,7,9,150,150,100
15,20.7008,20.7818,20.7569,10.1437,10.9494,10.0947,1,3,2,4,7,9,50,50,100
16,20.8986,20.8116,20.5386,10.8097,9.83014,10.5475,2,3,2,4,8,7,100,100,100
17,20.5822,21.2053,20.6525,10.0317,12.6173,11.5987,1,3,1,5,2,3,50,100,50
18,20.5955,21.3407,20.5468,9.7041,10.0791,10.6684,2,3,1,5,2,7,150,50,100
19,20.5313,20.8982,20.6806,9.86362,11.1596,10.6863,1,1,3,5,3,2,50,150,150
20,20.9822,20.4178,20.6542,10.7611,10.9181,10.7151,3,1,2,5,3,7,50,100,50
21,20.8415,20.6504,20.715,9.17197,10.4237,10.4842,1,3,1,5,7,4,50,50,100
22,20.6697,20.7042,20.6928,9.74006,10.1595,10.0301,3,3,3,5,8,10,100,100,150
23,20.9688,20.7142,20.1882,9.8988,10.1125,11.5427,1,3,2,5,10,2,50,150,50
24,20.561,20.8328,20.7683,11.1877,9.86483,10.6395,3,3,2,5,10,12,100,50,100
25,20.7326,20.8112,20.5981,10.2266,10.1754,12.5734,2,3,3,5,11,3,50,100,150
26,20.6084,20.8169,20.6132,9.89288,10.3649,10.8495,2,2,1,5,12,4,50,50,100
27,20.5864,21.2847,20.7437,10.315,11.3846,9.60384,2,3,1,6,1,2,50,50,50
28,21.0089,20.6727,20.657,10.6804,9.69626,10.0564,1,1,2,6,2,12,100,50,100
29,20.7256,20.6977,20.5402,10.7809,10.3884,10.8623,3,2,2,6,5,2,100,50,150
30,20.6868,20.7278,20.6835,10.5987,10.244,9.97101,2,2,3,6,6,9,100,50,100
31,20.9029,20.6719,20.7215,10.3012,10.0447,10.4022,3,1,3,6,7,7,150,100,150
32,20.7705,20.7714,20.7258,10.338,10.4676,10.709,3,3,3,6,7,8,150,150,50
33,20.8119,20.6778,20.7447,10.856,10.8511,9.17874,3,1,2,6,8,1,100,150,50
34,20.7786,20.7199,20.6796,10.1729,10.4273,10.9133,1,3,1,6,11,6,50,50,100
35,20.6537,20.7843,21.9,11.0658,10.148,6.54206,1,2,1,6,12,1,50,50,100
36,20.7397,20.5694,20.9869,10.5781,10.1192,10.596,3,3,3,6,12,7,150,50,150
37,20.4695,20.9297,21.0701,10.3419,10.9607,10.6977,2,1,2,7,6,4,150,100,100
38,20.7692,20.7343,20.9598,11.3321,10.0257,11.9843,1,3,3,7,11,2,100,50,50
39,20.8321,20.7797,20.5942,10.7258,10.5689,9.83709,1,2,2,7,11,5,150,50,100
40,20.7023,20.6182,20.4308,10.2059,9.24092,11.8881,3,3,3,8,1,2,150,50,100
41,20.7371,20.5646,20.6882,10.1865,10.3027,10.0929,2,3,2,8,3,12,150,50,50
42,20.836,20.8306,20.714,10.4748,10.1602,11.1611,3,1,1,8,4,9,100,150,150
43,20.8296,20.7162,20.7672,10.2123,11.0028,10.6737,1,3,1,8,4,11,150,50,150
44,20.587,20.7775,20.7071,10.3768,10.0686,10.1784,3,1,2,8,6,12,150,50,100
45,20.7038,20.6978,20.9459,9.68858,10.8087,10.3574,3,2,2,8,9,3,100,150,100
46,20.8253,20.7211,20.518,10.272,9.84809,10.2419,3,3,3,8,11,5,100,50,100
47,20.6809,20.7859,20.8077,10.7011,10.3544,10.7644,2,2,3,9,7,5,50,50,150
48,20.7512,20.7346,20.6709,9.84026,10.3348,9.88905,3,3,1,9,8,9,100,100,150
49,20.9491,20.62,20.6476,10.3591,10.7138,10.4563,3,1,3,9,10,2,150,50,50
50,20.8108,20.6887,20.714,10.0879,10.4575,10.9769,2,3,3,9,10,12,50,150,100
51,20.7229,20.8286,20.7273,10.9305,10.664,7.71812,2,2,3,9,12,1,100,100,100
52,20.7565,20.6154,20.7945,10.5373,10.3553,10.3422,3,2,3,9,12,6,100,100,100
53,20.7833,20.648,20.3537,10.1079,10.7677,10.6754,2,3,2,10,2,2,50,100,150
54,20.6293,20.9914,20.7125,10.3889,10.4167,9.81458,2,2,1,10,2,5,100,150,150
55,20.7853,20.7097,20.7668,10.5633,9.54564,9.47746,1,2,1,10,4,6,50,50,150
56,20.9473,20.7166,20.6617,9.87229,10.7064,10.6517,2,1,1,10,5,11,50,150,100
57,20.6163,20.6621,20.8989,10.1046,9.81019,10.5044,3,3,1,10,7,4,100,150,150
58,20.7673,20.576,20.7801,10.2181,10.073,10.782,3,2,3,10,10,9,50,150,150
59,20.6925,20.7515,20.7904,10.9438,10.1771,10.7362,3,2,3,10,11,2,150,150,100
60,20.8101,20.7638,20.6002,10.6632,9.81724,11.1274,2,2,2,11,12,8,150,50,50
61,20.6391,20,20.8879,9.86098,11.4286,10.3743,3,1,3,12,1,8,150,100,50
62,20.8152,20.7848,20.6747,10.3092,10.6806,9.42044,2,1,2,12,6,7,150,100,50
63,20.8943,20.5417,20.6648,10.5257,10.0991,11.4035,3,3,2,12,7,6,100,100,100
