Run,Application1AverageBandWidth,Application2AverageBandWidth,Application3AverageBandWidth,Application1ErrorRate,Application2ErrorRate,Application3ErrorRate,Application1Noise,Application2Noise,Application3Noise,Application1Peak,Application2Peak,Application3Peak,Application1Shift,Application2Shift,Application3Shift
1,10,20,26.426,19.1489,9.73607,4.44502,1,3,2,1,3,11,50,100,50
2,10,20,26.6404,19.4215,9.71837,4.63965,3,3,1,1,4,8,150,50,150
3,10,20.6229,26.6845,23.9544,10.0457,3.9548,3,1,2,1,12,11,100,150,50
4,10,20,26.5826,20.3016,4.87805,4.12502,1,1,2,2,1,8,150,150,150
5,10,20,30,20.4848,9.39964,0,1,2,1,2,3,1,100,150,50
6,10,20,26.6368,20.1306,10.2786,4.59752,2,1,1,2,5,9,150,150,50
7,10,20,26.4978,20.6198,9.92053,4.45306,1,3,2,2,6,12,50,100,100
8,10,20,29.5339,18.4783,9.71805,1.85185,2,3,2,2,10,2,100,100,150
9,10,20.1588,26.6818,18.0131,9.79943,4.78638,2,1,1,2,10,9,50,50,150
10,10,20.4576,27.9931,18.6885,10.2312,2.45474,2,3,3,2,11,5,150,100,50
11,10,20.3224,28.0307,19.6289,9.81509,3.13688,3,3,2,2,12,5,100,100,50
12,10,20,26.9622,21.5627,10.0694,3.49904,2,3,1,3,1,7,150,50,50
13,10,20,26.3989,19.1617,8.55457,4.78373,2,3,2,3,1,10,100,50,100
14,10,20,29.9758,19.7209,10.2745,0.959233,2,3,1,3,6,2,150,50,50
15,10,20.8208,26.6495,19.5255,9.87245,4.35852,2,2,1,3,6,12,50,50,100
16,10,20,26.5774,19.492,9.91238,4.21245,3,2,2,3,8,8,100,150,50
17,10,20,27.0464,20.8029,10.1305,3.50204,2,3,1,3,10,6,150,150,150
18,10,20,27.7674,21.3322,8.07018,3.45537,1,3,2,4,1,4,50,150,50
19,10,20,27.0588,20.6382,9.86066,3.82098,2,2,2,4,2,7,100,150,50
20,10,20,29.6818,19.6022,11.1696,1.77696,3,3,1,4,3,3,150,150,150
21,10,20,26.3874,20.2429,10.5063,4.83756,3,2,2,4,6,10,100,50,100
22,10,20,29.2292,20.8187,10.4263,1.81635,2,2,3,5,4,2,50,150,100
23,10,20.5321,26.5384,20.2724,10.7091,4.16452,2,2,1,5,8,11,50,100,100
24,10,20,26.4883,20.0578,10.1291,4.67836,1,2,2,5,8,12,50,150,150
25,10,20.1223,27.9425,19.1656,10.0772,2.9918,3,2,2,5,12,4,50,100,50
26,10.0115,20.5737,27.2697,18.7812,9.79864,3.66559,3,3,1,5,12,7,100,50,100
27,10,20,27.9253,19.3062,10.0324,3.15259,2,3,1,6,1,4,50,150,50
28,10,20,27.0258,19.4182,9.26568,3.81437,1,2,2,6,5,7,50,150,50
29,10,20,26.6532,20.6209,9.98348,4.61538,2,1,2,6,8,9,100,100,50
30,10.0625,20.6061,27.0139,19.3548,9.33953,3.91683,2,1,2,6,11,9,100,100,50
31,10.0053,20,27.7991,18.9966,9.82399,3.20957,3,3,2,7,4,5,100,150,100
32,10.0108,20,26.6148,20.6919,10.4918,4.65031,2,3,2,7,4,8,150,100,150
33,10,20,26.3749,20.8228,9.52261,4.31645,3,2,1,7,6,11,50,150,50
34,10.0053,20,27.7505,20.415,10.5996,3.10914,3,1,2,7,7,5,150,150,150
35,10.0053,20,27.8614,19.561,8.85683,3.34928,2,2,2,7,8,5,150,100,50
36,10.1442,20.925,26.7155,19.8115,9.16626,4.4,3,2,3,7,9,10,100,100,150
37,10,20,28.6434,19.9405,10.2956,3.37079,3,2,3,7,10,1,50,100,150
38,10.0106,20.2846,29.7182,20.3418,9.33847,1.05328,3,2,1,7,10,3,100,50,150
39,10.0459,21.0189,26.9172,20.4848,9.84642,4.38898,2,2,3,7,10,10,150,50,50
40,10.0184,20.0301,26.3457,19.0011,10.4844,4.34097,3,3,1,7,11,10,150,50,100
41,10,20,29.5951,20.2859,11.5811,2.41493,3,3,2,8,2,2,50,100,100
42,10.1159,20.5559,27.1463,19.8179,9.41835,3.69974,2,2,1,8,12,7,50,50,100
43,10.0139,20,27.0077,19.5481,10.687,3.51282,1,1,2,9,5,6,150,100,50
44,10.0221,20,27.7815,19.6679,10.3854,3.81339,1,2,3,9,9,4,150,150,100
45,11.7772,20,27.8393,18.2532,9.4451,3.51155,2,1,2,10,2,5,100,100,150
46,10,20,26.5996,20.1885,9.34524,4.28857,1,3,2,10,3,8,50,150,150
47,11.8024,20,26.3825,18.5477,9.50882,4.67878,2,1,1,10,3,10,50,50,100
48,10.0106,20,29.21,19.305,10.1371,1.86457,1,1,3,10,5,2,100,100,50
49,12.3062,20.9467,28.7812,18.775,10.2998,2.14067,2,1,3,10,10,1,150,50,100
50,13.2465,20.3876,30,17.0954,9.62402,0.850547,3,3,1,10,11,2,50,100,50
51,11.6664,20,29.0604,18.19,6.31579,1.51086,1,1,3,11,1,2,100,50,50
52,12.727,20,30,17.9851,9.72165,0,1,2,2,11,4,1,100,150,50
53,14.7896,20,27.7177,14.9863,9.06445,3.23108,3,2,3,11,4,4,150,50,150
54,12.7339,20.0674,27.0145,17.4491,10.0335,3.38226,1,2,3,11,11,7,100,100,100
55,12.0839,20.1297,26.4639,18.6789,10.0526,4.10545,1,2,3,11,11,10,100,150,50
56,14.3183,21.3321,26.6926,15.5417,8.78069,4.10271,2,3,1,12,4,10,50,50,50
57,12.8959,20,29.608,16.8644,9.65812,1.53186,1,1,1,12,7,3,50,100,100
58,12.8586,20,29.426,17.5891,10.7566,1.07591,1,1,2,12,8,3,150,50,50
59,13.5075,20.8736,27.3745,16.9754,8.69325,4.19239,1,1,1,12,8,6,100,150,150
